Ремонт холодильников ПРАЙС:	Цена, руб.
Выезд + диагностика (по ремонту, установке, обслуживанию), в пределах города.
Включается в себя разборку, поиск неисправности
в случае обслуживания – БЕСПЛАТНО!	от 500р*
Замена фильтра осушителя	от 800р*
Замена термостата терморегулятора	от 1000р*
Замена нагревателя оттайки	от 900р*
Устранение утечки хладогента	от 1800р*
Устранение засора капилярного трубопровода	от 1200р*
Замена датчика температуры	от 700р*
Ремонт датчика температуры морозильного отделения	от 600р*
Замена пускозащитного реле	от 650р*
Заправка фреоном	от 500р/50гр
Ремонт электросхемы	от 2000р
Замена таймера оттайки	от 900р
Ремонт платы управления	от 3000р
Замена мотор-компрессора	от 4000р
Замена ТЭН	от 1400
Замена вентилятора обдува испарителя	от 600р
Пуско-наладочные работы (запуск, инструктаж)	1500р
Замена дефростера	от 700р
Заправка, дозаправка фреоном	от 600р
Чистка дренажной системы	от 800р
Поиск и ликвидация утечки	от 500р
Замена капиллярной трубки	от 1000р
Стоимость хладагента (фреон)	от 500р/50гр
Антибактериальная обработка	от 350р
Замена реле высокого давления	от 1500р
Замена нагревателя компрессора	от 1500р
Пуско-накладочные работы (Запуск, инструктаж)	от 1000р
