Работы:	Цена**
Диагностика	Бесплатно, в случае ремонта
Выезд мастера	Бесплатно, в случае ремонта
Демонтаж встраиваемой техники	от 700 руб.
Обслуживание	****
Снятие транспортировочных болтов	от 800 руб.
Поиск и устранение засора	от 650 руб.
Очистка узлов стиральной машины	от 1000 руб.
Установка стиральной машины по уровню	от 780 руб.
Подключение стиральной машины к новой точке	от 900 руб.
Вытащить посторонний предмет со стиральной машины	от 1000 руб.
Открыть люк стиральной машины без ремонта	от 970 руб.
Несложный ремонт	***
Ремонт или замена кнопки Вкл. и других	от 980 руб.
Заменить люк стиральной машины	от 1200 руб.
Заменить петли люка	от 1100 руб.
Заменить ручку дверцы	от 800 руб.
Заменить сетевой фильтр	от 1290 руб.
Заменить стекло люка	от 1300 руб.
Чистка фильтра слива воды	от 980 руб.
Заменить сетевой кабель	от 1100 руб.
Заменить сливной фильтр	от 1450 руб.
Заменить заливной фильтр (сеточка)	от 550 руб.
Заменить лоток стиральной машины	от 700 руб.
Замена шланга подачи воды	от 700 руб.
Ремонт и замена системы аквастоп	от 900 руб
Ремонт средней сложности	****
Ремонт или замена УБЛ стиральной машины	
Заменить ТЭН на стиральной машине	от 1100 руб
Ремонт или замена мотора	от 1600 руб
Заменить приводной ремень в стиральной машине	от 970 руб
Заменить амортизаторы на стиральной машине	от 1700 руб
Заменить манжету стиральной машины	от 800 руб
Замена щёток электродвигателя	от 1800 руб
Ремонт платы стиральной машины	от 1500 руб
Ремонт модуля управления стиральной машины	от 1700 руб.
Ремонт или замена помпы (насоса)	от 1679 руб
Замена патрубка стиральной машины	от 900 руб
Заменит заливной клапан	от 1500 руб
Заменить прессостат (датчик уровня воды)	от 1400 руб
Замена конденсатора	от 799 руб
Ремонт электропроводки стиральной машины	от 1500 руб
Заменить термостат (датчик температуры)	от 1799 руб
Заменить пружины на стиральной машине	от 1300 руб.
Заменить шторки барабана	от 1400 руб.
Ремонт повышенной сложности	****
Замена и ремонт бака стиральной машины	от 3000 руб
Поменять подшипник на стиральной машине	от 2600 руб.
Замена опоры бака	от 2567 руб
Заменить крестовину стиральной машины	от 3200 руб
Замена нижнего противовеса	от 2700 руб
Заменить верхний противовес	от 2790 руб
Стоимость ремонта стиральных машин указана без стоимости новых запчастей, их нужно покупать отдельно (через мастера или самостоятельно). Указанная цена каждой услуги – приблизительная. Окончательная стоимость ремонта зависит от сложности неисправности и устройства стиральной машины.

